md5hash,fitzpatrick_scale,fitzpatrick_centaur,label,nine_partition_label,three_partition_label,qc,url,url_alphanum,image_path
5f15a814cc5a6ca1db94f5f8c6a14832,3,3,porokeratosis actinic,benign epidermal,benign,,http://atlasdermatologico.com.br/img?imageId=5909,httpwwwatlasdermatologicocombrimgimageId5909.jpg,data/images/train/5f15a814cc5a6ca1db94f5f8c6a14832.jpg
110ab19e268e85c3466d5d6fe16e8fd5,6,5,lichen simplex,inflammatory,non-neoplastic,1 Diagnostic,http://atlasdermatologico.com.br/img?imageId=3999,httpwwwatlasdermatologicocombrimgimageId3999.jpg,data/images/train/110ab19e268e85c3466d5d6fe16e8fd5.jpg
57ef677a7e005b0c2e2aa10f6c01bd27,5,4,pityriasis rubra pilaris,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5792,httpwwwatlasdermatologicocombrimgimageId5792.jpg,data/images/train/57ef677a7e005b0c2e2aa10f6c01bd27.jpg
3c207746b0ed674ef025cfef2d41496f,4,4,ichthyosis vulgaris,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2753,httpwwwatlasdermatologicocombrimgimageId2753.jpg,data/images/train/3c207746b0ed674ef025cfef2d41496f.jpg
34cfe965d8162681c8af4cd2cd03938f,3,3,granuloma annulare,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2282,httpwwwatlasdermatologicocombrimgimageId2282.jpg,data/images/train/34cfe965d8162681c8af4cd2cd03938f.jpg
e894e98ec3b149d53b202e1cef0fa9ad,1,2,melanoma,malignant melanoma,malignant,,http://atlasdermatologico.com.br/img?imageId=4239,httpwwwatlasdermatologicocombrimgimageId4239.jpg,data/images/train/e894e98ec3b149d53b202e1cef0fa9ad.jpg
37eae27b3b60a420dade1a950f7bfb81,3,3,dariers disease,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1323,httpwwwatlasdermatologicocombrimgimageId1323.jpg,data/images/train/37eae27b3b60a420dade1a950f7bfb81.jpg
7148371428c71da83f86796dd9a3b190,5,5,scabies,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6600,httpwwwatlasdermatologicocombrimgimageId6600.jpg,data/images/train/7148371428c71da83f86796dd9a3b190.jpg
06f65d8dde6dde8c772966689a06ad66,2,1,syringoma,benign dermal,benign,,http://atlasdermatologico.com.br/img?imageId=7119,httpwwwatlasdermatologicocombrimgimageId7119.jpg,data/images/train/06f65d8dde6dde8c772966689a06ad66.jpg
52db388899b5cfbc3808fd0b7b38e0fc,3,4,pityriasis rubra pilaris,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5774,httpwwwatlasdermatologicocombrimgimageId5774.jpg,data/images/train/52db388899b5cfbc3808fd0b7b38e0fc.jpg
25a18b9d614cfd68205c7335fe24235d,4,3,lupus erythematosus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4137,httpwwwatlasdermatologicocombrimgimageId4137.jpg,data/images/train/25a18b9d614cfd68205c7335fe24235d.jpg
2dd0558bd9a2f9035efe7c0000a54797,4,4,scleromyxedema,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3721,httpwwwatlasdermatologicocombrimgimageId3721.jpg,data/images/train/2dd0558bd9a2f9035efe7c0000a54797.jpg
4cd823cc154bc89be14b9ac2dd12bbce,3,4,erythema annulare centrifigum,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1895,httpwwwatlasdermatologicocombrimgimageId1895.jpg,data/images/train/4cd823cc154bc89be14b9ac2dd12bbce.jpg
119cb6dca30cf4875a9643d4ffce69cc,4,3,lupus erythematosus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6477,httpwwwatlasdermatologicocombrimgimageId6477.jpg,data/images/train/119cb6dca30cf4875a9643d4ffce69cc.jpg
9fb59bbef6bf313fbe16a2af757402a3,3,3,ichthyosis vulgaris,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2755,httpwwwatlasdermatologicocombrimgimageId2755.jpg,data/images/train/9fb59bbef6bf313fbe16a2af757402a3.jpg
923534fd044e776e66d0e5fca35e0a1c,1,1,mycosis fungoides,malignant cutaneous lymphoma,malignant,,http://atlasdermatologico.com.br/img?imageId=4574,httpwwwatlasdermatologicocombrimgimageId4574.jpg,data/images/train/923534fd044e776e66d0e5fca35e0a1c.jpg
bef76ebb957209dc6d7cd5c569705dce,5,5,neurofibromatosis,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4819,httpwwwatlasdermatologicocombrimgimageId4819.jpg,data/images/train/bef76ebb957209dc6d7cd5c569705dce.jpg
585de3087248fafc0600dbeae5cb2692,4,3,actinic keratosis,malignant epidermal,malignant,,http://atlasdermatologico.com.br/img?imageId=3076,httpwwwatlasdermatologicocombrimgimageId3076.jpg,data/images/train/585de3087248fafc0600dbeae5cb2692.jpg
0cf5b1941e8c7250e0b7dc188096fbfb,3,3,granuloma annulare,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2291,httpwwwatlasdermatologicocombrimgimageId2291.jpg,data/images/train/0cf5b1941e8c7250e0b7dc188096fbfb.jpg
dbfa5b80a763f82575639ac6184ad901,5,2,hailey hailey disease,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2457,httpwwwatlasdermatologicocombrimgimageId2457.jpg,data/images/train/dbfa5b80a763f82575639ac6184ad901.jpg
a9789ebba82857c54345e95b0f1a5694,3,3,squamous cell carcinoma,malignant epidermal,malignant,,http://atlasdermatologico.com.br/img?imageId=6774,httpwwwatlasdermatologicocombrimgimageId6774.jpg,data/images/train/a9789ebba82857c54345e95b0f1a5694.jpg
14ff311b9905eca10106dfaba83dff8f,2,2,mycosis fungoides,malignant cutaneous lymphoma,malignant,,http://atlasdermatologico.com.br/img?imageId=8655,httpwwwatlasdermatologicocombrimgimageId8655.jpg,data/images/train/14ff311b9905eca10106dfaba83dff8f.jpg
1d78d91cb196cb45b40c615cbf7a94ff,4,4,melanoma,malignant melanoma,malignant,,http://atlasdermatologico.com.br/img?imageId=4316,httpwwwatlasdermatologicocombrimgimageId4316.jpg,data/images/train/1d78d91cb196cb45b40c615cbf7a94ff.jpg
879efd7e157c644bdf9bef7d212fc2c1,4,3,lichen planus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3745,httpwwwatlasdermatologicocombrimgimageId3745.jpg,data/images/train/879efd7e157c644bdf9bef7d212fc2c1.jpg
0c783f7a9cbcde5fd3176420673b3380,5,5,neurofibromatosis,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4774,httpwwwatlasdermatologicocombrimgimageId4774.jpg,data/images/train/0c783f7a9cbcde5fd3176420673b3380.jpg
8e286b255530fa8e1a6d2ef36f1a9b4c,4,-1,tungiasis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=7705,httpwwwatlasdermatologicocombrimgimageId7705.jpg,data/images/train/8e286b255530fa8e1a6d2ef36f1a9b4c.jpg
1494e5ede53391eac9b5c78123f91c63,6,5,lichen planus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3927,httpwwwatlasdermatologicocombrimgimageId3927.jpg,data/images/train/1494e5ede53391eac9b5c78123f91c63.jpg
9b950015c022988a79291ec308d2c839,5,5,porokeratosis actinic,benign epidermal,benign,1 Diagnostic,http://atlasdermatologico.com.br/img?imageId=5918,httpwwwatlasdermatologicocombrimgimageId5918.jpg,data/images/train/9b950015c022988a79291ec308d2c839.jpg
2373ea63f44bba2e99c3e0694e868b6c,5,4,porokeratosis actinic,benign epidermal,benign,,http://atlasdermatologico.com.br/img?imageId=5915,httpwwwatlasdermatologicocombrimgimageId5915.jpg,data/images/train/2373ea63f44bba2e99c3e0694e868b6c.jpg
00e5d7b717e40afb559ca65ce44a5239,4,5,neurofibromatosis,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4803,httpwwwatlasdermatologicocombrimgimageId4803.jpg,data/images/train/00e5d7b717e40afb559ca65ce44a5239.jpg
3c4fbff24b36b238ae017477e66ec37c,3,3,erythema annulare centrifigum,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1903,httpwwwatlasdermatologicocombrimgimageId1903.jpg,data/images/train/3c4fbff24b36b238ae017477e66ec37c.jpg
fdfd34f8f20abd710bf9583de1084f2b,4,2,nematode infection,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3214,httpwwwatlasdermatologicocombrimgimageId3214.jpg,data/images/train/fdfd34f8f20abd710bf9583de1084f2b.jpg
1403b063b54423d4f1f85ad7e6504ec1,2,2,dermatomyositis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1446,httpwwwatlasdermatologicocombrimgimageId1446.jpg,data/images/train/1403b063b54423d4f1f85ad7e6504ec1.jpg
be6c97591630f0cb2b5b966ee9628b72,4,3,nematode infection,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3240,httpwwwatlasdermatologicocombrimgimageId3240.jpg,data/images/train/be6c97591630f0cb2b5b966ee9628b72.jpg
aae3cda749d4fc006099a3152c3fbe9a,-1,3,folliculitis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6190,httpwwwatlasdermatologicocombrimgimageId6190.jpg,data/images/train/aae3cda749d4fc006099a3152c3fbe9a.jpg
2d6f85b75f971b75af2b9fe555f72527,6,6,lupus erythematosus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4096,httpwwwatlasdermatologicocombrimgimageId4096.jpg,data/images/train/2d6f85b75f971b75af2b9fe555f72527.jpg
71592feeff8bbed08146af1632452e3d,4,3,scabies,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=8797,httpwwwatlasdermatologicocombrimgimageId8797.jpg,data/images/train/71592feeff8bbed08146af1632452e3d.jpg
3be5d580b67406152ee65b85d465db27,4,5,prurigo nodularis,benign epidermal,benign,,http://atlasdermatologico.com.br/img?imageId=6090,httpwwwatlasdermatologicocombrimgimageId6090.jpg,data/images/train/3be5d580b67406152ee65b85d465db27.jpg
675abb915f8549449ff6e68bb7d44879,4,4,kaposi sarcoma,malignant dermal,malignant,,http://atlasdermatologico.com.br/img?imageId=2927,httpwwwatlasdermatologicocombrimgimageId2927.jpg,data/images/train/675abb915f8549449ff6e68bb7d44879.jpg
b4df499e2397da0425aecca6849c55f0,-1,3,melanoma,malignant melanoma,malignant,,http://atlasdermatologico.com.br/img?imageId=4267,httpwwwatlasdermatologicocombrimgimageId4267.jpg,data/images/train/b4df499e2397da0425aecca6849c55f0.jpg
4bbd441fe32aeb3725835492f6d1e137,4,3,scleromyxedema,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3719,httpwwwatlasdermatologicocombrimgimageId3719.jpg,data/images/train/4bbd441fe32aeb3725835492f6d1e137.jpg
39d134679e4f8bc95a5a628032320dc5,-1,-1,lichen planus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3873,httpwwwatlasdermatologicocombrimgimageId3873.jpg,data/images/train/39d134679e4f8bc95a5a628032320dc5.jpg
8454e7ea36d2b5d6301d177200e25cb0,4,3,seborrheic dermatitis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6711,httpwwwatlasdermatologicocombrimgimageId6711.jpg,data/images/train/8454e7ea36d2b5d6301d177200e25cb0.jpg
5802610b87c8098cf71de102f2e9652d,3,4,squamous cell carcinoma,malignant epidermal,malignant,,http://atlasdermatologico.com.br/img?imageId=815,httpwwwatlasdermatologicocombrimgimageId815.jpg,data/images/train/5802610b87c8098cf71de102f2e9652d.jpg
8a34554db21b860d3ff8509be4cf5612,3,3,lichen planus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3771,httpwwwatlasdermatologicocombrimgimageId3771.jpg,data/images/train/8a34554db21b860d3ff8509be4cf5612.jpg
a2004f2489970e8af42765e80096d676,3,4,folliculitis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1675,httpwwwatlasdermatologicocombrimgimageId1675.jpg,data/images/train/a2004f2489970e8af42765e80096d676.jpg
7a6ae6abce402387f780335fe608489e,-1,3,mucinosis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=8269,httpwwwatlasdermatologicocombrimgimageId8269.jpg,data/images/train/7a6ae6abce402387f780335fe608489e.jpg
433100113d3ee62e2339b78e28f1934c,5,5,lichen planus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3799,httpwwwatlasdermatologicocombrimgimageId3799.jpg,data/images/train/433100113d3ee62e2339b78e28f1934c.jpg
e232bf6ad88e73a57e10a33934296849,6,6,lichen planus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3891,httpwwwatlasdermatologicocombrimgimageId3891.jpg,data/images/train/e232bf6ad88e73a57e10a33934296849.jpg
a0813aad14b96d669342ef81e4d6bab0,4,4,keloid,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2968,httpwwwatlasdermatologicocombrimgimageId2968.jpg,data/images/train/a0813aad14b96d669342ef81e4d6bab0.jpg
a036718d77f4a4339b2aaf15e2087fe0,5,5,squamous cell carcinoma,malignant epidermal,malignant,,http://atlasdermatologico.com.br/img?imageId=2987,httpwwwatlasdermatologicocombrimgimageId2987.jpg,data/images/train/a036718d77f4a4339b2aaf15e2087fe0.jpg
f7c72d8e658fc7103d151265b58287c2,5,5,folliculitis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2154,httpwwwatlasdermatologicocombrimgimageId2154.jpg,data/images/train/f7c72d8e658fc7103d151265b58287c2.jpg
d9dc55189fda1516e674a1253aff93e9,2,1,calcinosis cutis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=844,httpwwwatlasdermatologicocombrimgimageId844.jpg,data/images/train/d9dc55189fda1516e674a1253aff93e9.jpg
0066264501f73b1db09b3e2aa4dac0a0,6,5,pityriasis rosea,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5591,httpwwwatlasdermatologicocombrimgimageId5591.jpg,data/images/train/0066264501f73b1db09b3e2aa4dac0a0.jpg
30d72eb0b65407c1d3c2894a2bd14b75,3,3,erythema annulare centrifigum,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1914,httpwwwatlasdermatologicocombrimgimageId1914.jpg,data/images/train/30d72eb0b65407c1d3c2894a2bd14b75.jpg
e41ed3b2767f1eddfd2fce3c252e5b85,-1,-1,tungiasis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=7733,httpwwwatlasdermatologicocombrimgimageId7733.jpg,data/images/train/e41ed3b2767f1eddfd2fce3c252e5b85.jpg
08316bb7f1783d728d09d4c1a37a5f81,5,4,granuloma annulare,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2271,httpwwwatlasdermatologicocombrimgimageId2271.jpg,data/images/train/08316bb7f1783d728d09d4c1a37a5f81.jpg
6d589d145a183c5642047b1529b5e959,2,1,granuloma pyogenic,benign dermal,benign,,http://atlasdermatologico.com.br/img?imageId=2316,httpwwwatlasdermatologicocombrimgimageId2316.jpg,data/images/train/6d589d145a183c5642047b1529b5e959.jpg
c80477e1e5ed923c4c3ac886c92c13be,-1,2,pityriasis rubra pilaris,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5776,httpwwwatlasdermatologicocombrimgimageId5776.jpg,data/images/train/c80477e1e5ed923c4c3ac886c92c13be.jpg
2fd347d0b8d3412bb70e98de256d48d6,4,-1,seborrheic dermatitis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6722,httpwwwatlasdermatologicocombrimgimageId6722.jpg,data/images/train/2fd347d0b8d3412bb70e98de256d48d6.jpg
d52410c128de4acdd4e13a8bdcf45921,1,1,neutrophilic dermatoses,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6373,httpwwwatlasdermatologicocombrimgimageId6373.jpg,data/images/train/d52410c128de4acdd4e13a8bdcf45921.jpg
993c2ed511a88ea5fb1cbfe46c1737f8,-1,-1,folliculitis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2160,httpwwwatlasdermatologicocombrimgimageId2160.jpg,data/images/train/993c2ed511a88ea5fb1cbfe46c1737f8.jpg
7edc9e55a577c424eeb24316e088eb27,4,6,lichen planus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3855,httpwwwatlasdermatologicocombrimgimageId3855.jpg,data/images/train/7edc9e55a577c424eeb24316e088eb27.jpg
bb53242dc4712002805f4c2a2e41ad24,2,2,papilomatosis confluentes and reticulate,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5098,httpwwwatlasdermatologicocombrimgimageId5098.jpg,data/images/train/bb53242dc4712002805f4c2a2e41ad24.jpg
3ef025ce3cadddd63eecc806437d0e61,3,3,papilomatosis confluentes and reticulate,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=5047,httpwwwatlasdermatologicocombrimgimageId5047.jpg,data/images/train/3ef025ce3cadddd63eecc806437d0e61.jpg
36fa954b666b5de098d83fe2160b1ab3,-1,4,lupus erythematosus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4046,httpwwwatlasdermatologicocombrimgimageId4046.jpg,data/images/train/36fa954b666b5de098d83fe2160b1ab3.jpg
12d96c0251dc4f320551daebae71aecd,2,2,hailey hailey disease,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2454,httpwwwatlasdermatologicocombrimgimageId2454.jpg,data/images/train/12d96c0251dc4f320551daebae71aecd.jpg
741cf02d5bb563b83cfbb4238207eb1e,2,2,syringoma,benign dermal,benign,,http://atlasdermatologico.com.br/img?imageId=7114,httpwwwatlasdermatologicocombrimgimageId7114.jpg,data/images/train/741cf02d5bb563b83cfbb4238207eb1e.jpg
c18e85e3a689b098ad9203017309a23a,2,-1,scabies,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=4940,httpwwwatlasdermatologicocombrimgimageId4940.jpg,data/images/train/c18e85e3a689b098ad9203017309a23a.jpg
63df56630d6e8a845e6f229352e813e1,3,3,vitiligo,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=7914,httpwwwatlasdermatologicocombrimgimageId7914.jpg,data/images/train/63df56630d6e8a845e6f229352e813e1.jpg
f254b24dd1d26553360f85a5c935a2d4,5,5,ehlers danlos syndrome,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1616,httpwwwatlasdermatologicocombrimgimageId1616.jpg,data/images/train/f254b24dd1d26553360f85a5c935a2d4.jpg
bb88504c6d54793498b256976f10bc3e,3,3,lichen planus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3907,httpwwwatlasdermatologicocombrimgimageId3907.jpg,data/images/train/bb88504c6d54793498b256976f10bc3e.jpg
fea17cde96eafc8a203b008204083ace,4,-1,seborrheic dermatitis,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=6697,httpwwwatlasdermatologicocombrimgimageId6697.jpg,data/images/train/fea17cde96eafc8a203b008204083ace.jpg
720e5529a2ef6ab6559dac5dd7c2c3ff,4,3,granuloma annulare,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2263,httpwwwatlasdermatologicocombrimgimageId2263.jpg,data/images/train/720e5529a2ef6ab6559dac5dd7c2c3ff.jpg
bf0475f3f7125014bc48ae0a47ac6d81,4,3,hailey hailey disease,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=2414,httpwwwatlasdermatologicocombrimgimageId2414.jpg,data/images/train/bf0475f3f7125014bc48ae0a47ac6d81.jpg
d4f77fec14beee5f50211ce6c745640a,3,3,acrodermatitis enteropathica,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=107,httpwwwatlasdermatologicocombrimgimageId107.jpg,data/images/train/d4f77fec14beee5f50211ce6c745640a.jpg
104f094844042867d1f83accc940645c,4,3,porokeratosis actinic,benign epidermal,benign,,http://atlasdermatologico.com.br/img?imageId=5992,httpwwwatlasdermatologicocombrimgimageId5992.jpg,data/images/train/104f094844042867d1f83accc940645c.jpg
5b42c6f433edb6b5c71fdb806c332ca9,4,3,photodermatoses,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=171,httpwwwatlasdermatologicocombrimgimageId171.jpg,data/images/train/5b42c6f433edb6b5c71fdb806c332ca9.jpg
201c21c101d8a11759dc973dbf867366,4,3,scleromyxedema,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=3722,httpwwwatlasdermatologicocombrimgimageId3722.jpg,data/images/train/201c21c101d8a11759dc973dbf867366.jpg
4d153be3d6c7208ec54d22eb73b217ea,3,3,acanthosis nigricans,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=1482,httpwwwatlasdermatologicocombrimgimageId1482.jpg,data/images/train/4d153be3d6c7208ec54d22eb73b217ea.jpg
